Beneteau-423,12.93 ft / 3.94 m,"19,500 lb / 8,845 kg",19.07,53 gals / 201 L,154 gals / 583 L,Masthead Sloop,Volvo,Fin w/bulb & spade rudder,
Hanse-548,16.57 ft / 5.05 m,"43,211 lb / 19,600 kg",19.12,137 gals / 520 L,203 gals / 770 L,Fractional  Sloop,,Fin w/bulb & spade rudder,81.04 ft / 24.70 m
Hanse-531,16.16 ft / 4.93 m,"41,888 lb / 19,000 kg",19.12,106 gals / 401 L,208 gals / 787 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,86.12 ft / 26.25 m
Elan-450,14.30 ft / 4.36 m,"24,917 lb / 11,302 kg",19.17,54 gals / 204 L,116 gals / 439 L,Fractional  Sloop,,Fin w/bulb & dual rudders,
Oyster-475,14.47 ft / 4.41 m,"35,274 lb / 16,000 kg",19.29,198 gals / 750 L,,Masthead Sloop,Yanmar,Fin w/bulb & spade rudder,62.40 ft / 19.02 m
Hanse-540e,16.11 ft / 4.91 m,"41,226 lb / 18,700 kg",19.32,99 gals / 375 L,182 gals / 689 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Dehler-41-CR,12.80 ft / 3.90 m,"19,621 lb / 8,900 kg",19.34,37 gals / 140 L,100 gals / 379 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,
Contest-55CS,15.26 ft / 4.65 m,"54,675 lb / 24,800 kg",19.4,"264 gals / 1,000 L","264 gals / 1,000 L",Cutter,Perkins,Wing keel w/spade rudder,81.69 ft / 24.90 m
Hanse-545,16.11 ft / 4.91 m,"41,226 lb / 18,700 kg",19.48,106 gals / 401 L,185 gals / 700 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,86.20 ft / 26.27 m
Nauticat-44,12.17 ft / 3.71 m,"32,000 lb / 14,515 kg",19.56,"285 gals / 1,079 L",200 gals / 757 L,Masthead  Ketch,Ford,Long Keel,
Hanse-445,14.37 ft / 4.38 m,"24,251 lb / 11,000 kg",19.58,58 gals / 220 L,119 gals / 450 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Hanse-430,13.71 ft / 4.18 m,"24,030 lb / 10,900 kg",19.71,61 gals / 231 L,86 gals / 326 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,
Tayana-48,14.50 ft / 4.42 m,"35,000 lb / 15,876 kg",19.76,120 gals / 454 L,220 gals / 833 L,Cutter,Yanmar,Fin with rudder on skeg,
Hanse-575,17.06 ft / 5.20 m,"42,990 lb / 19,500 kg",19.84,137 gals / 519 L,214 gals / 810 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,83.00 ft / 25.30 m
Hanse-415,13.68 ft / 4.17 m,"19,621 lb / 8,900 kg",19.85,42 gals / 159 L,84 gals / 318 L,Fractional  Sloop,,Fin w/bulb & spade rudder,64.33 ft / 19.61 m
Hallberg-Rassy-44,13.78 ft / 4.20 m,"29,321 lb / 13,300 kg",19.93,111 gals / 420 L,197 gals / 745 L,Fractional  Sloop,Volvo Penta,Fin w/dual rudders,70.87 ft / 21.60 m
Hylas-49,14.24 ft / 4.34 m,"31,967 lb / 14,500 kg",19.95,140 gals / 530 L,230 gals / 871 L,Cutter,Yanmar,Fin with rudder on skeg,
Hanse-495,15.58 ft / 4.75 m,"30,864 lb / 14,000 kg",19.97,79 gals / 299 L,172 gals / 651 L,Fractional  Sloop,,Fin w/bulb & spade rudder,66.60 ft / 20.30 m
Sweden-Yachts-45,13.71 ft / 4.18 m,"27,337 lb / 12,400 kg",20.01,75 gals / 285 L,115 gals / 435 L,Masthead Sloop,Volvo,Fin w/bulb & spade rudder,
Hunter-49,14.75 ft / 4.50 m,"32,813 lb / 14,884 kg",20.02,150 gals / 568 L,200 gals / 757 L,B&R,Yanmar,Wing Keel,63.33 ft / 19.30 m
Hanse-508,15.58 ft / 4.75 m,"32,408 lb / 14,700 kg",20.04,74 gals / 280 L,166 gals / 630 L,Solent,,Fin w/bulb & spade rudder,72.34 ft / 22.05 m
Tartan-4000,12.00 ft / 3.66 m,"18,854 lb / 8,552 kg",20.18,75 gals / 284 L,120 gals / 454 L,Fractional  Sloop,,Fin w/spade rudder,64.25 ft / 19.58 m
Allures-44,13.94 ft / 4.25 m,"23,148 lb / 10,500 kg",20.21,145 gals / 549 L,145 gals / 549 L,Fractional  Sloop,Volvo Penta,Keel/Cbrd.,
Salona-45,13.78 ft / 4.20 m,"22,046 lb / 10,000 kg",20.31,71 gals / 269 L,106 gals / 401 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,
Bavaria-Cruiser-46,14.27 ft / 4.35 m,"27,778 lb / 12,600 kg",20.35,55 gals / 208 L,95 gals / 360 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & dual rudders,68.08 ft / 20.75 m
Hanse-400,13.25 ft / 4.04 m,"18,739 lb / 8,500 kg",20.4,37 gals / 140 L,79 gals / 299 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Tartan-4300,12.50 ft / 3.81 m,"21,775 lb / 9,877 kg",20.47,60 gals / 227 L,120 gals / 454 L,Masthead Sloop,Volvo,Fin w/spade rudder,64.75 ft / 19.74 m
Hylas-46,13.75 ft / 4.19 m,"27,777 lb / 12,599 kg",20.49,100 gals / 379 L,200 gals / 757 L,Masthead Sloop,Yanmar,Fin w/spade rudder,63.00 ft / 19.20 m
Elan-410,12.83 ft / 3.91 m,"18,298 lb / 8,300 kg",20.52,38 gals / 144 L,94 gals / 356 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Hanse-455,14.37 ft / 4.38 m,"25,574 lb / 11,600 kg",20.52,58 gals / 220 L,119 gals / 450 L,Fractional  Sloop,,Fin w/bulb & spade rudder,67.58 ft / 20.60 m
Hanse-505,15.58 ft / 4.75 m,"31,747 lb / 14,400 kg",20.53,74 gals / 280 L,166 gals / 630 L,Fractional  Sloop,,Fin w/bulb & spade rudder,72.50 ft / 22.10 m
Beneteau-43,13.50 ft / 4.11 m,"19,566 lb / 8,875 kg",20.66,53 gals / 201 L,95 gals / 360 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,60.00 ft / 18.29 m
Dufour-40,12.80 ft / 3.90 m,"17,196 lb / 7,800 kg",20.89,42 gals / 160 L,87 gals / 330 L,Fractional  Sloop,,Fin w/bulb & spade rudder,57.91 ft / 17.65 m
Salona-42,12.53 ft / 3.82 m,"16,204 lb / 7,350 kg",21.02,55 gals / 208 L,60 gals / 227 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Hanse-461,14.67 ft / 4.47 m,"26,235 lb / 11,900 kg",21.11,66 gals / 250 L,106 gals / 401 L,Fractional  Sloop,Yanmar,Fin Keel w/bulb,80.15 ft / 24.43 m
Salona-44,13.75 ft / 4.19 m,"20,944 lb / 9,500 kg",21.12,58 gals / 220 L,84 gals / 318 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Amel-54,15.75 ft / 4.80 m,"38,580 lb / 17,500 kg",21.19,238 gals / 901 L,238 gals / 901 L,Staysail Ketch,Volvo Penta,Fin with rudder on skeg,
Hanse-470,14.63 ft / 4.46 m,"26,896 lb / 12,200 kg",21.22,66 gals / 250 L,100 gals / 379 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,80.16 ft / 24.43 m
Boreal-47,14.11 ft / 4.30 m,"22,686 lb / 10,290 kg",21.57,159 gals / 600 L,201 gals / 760 L,Cutter,Volvo,Twin Daggerboards,
Boreal-44,14.11 ft / 4.30 m,"22,685 lb / 10,290 kg",21.58,159 gals / 600 L,201 gals / 760 L,Cutter,Volov,Twin Daggerboards,
Dehler-45,12.66 ft / 3.86 m,"21,385 lb / 9,700 kg",21.72,44 gals / 167 L,61 gals / 231 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,68.40 ft / 20.85 m
Dehler-42,12.83 ft / 3.91 m,"20,062 lb / 9,100 kg",21.75,42 gals / 160 L,83 gals / 315 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,63.98 ft / 19.50 m
Grand-Soleil-46-LC,14.47 ft / 4.41 m,"26,455 lb / 12,000 kg",21.81,79 gals / 300 L,159 gals / 600 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Catalina-425,13.67 ft / 4.17 m,"18,100 lb / 8,210 kg",21.9,56 gals / 212 L,114 gals / 432 L,Fractional  Sloop,Yanmar,Fin Keel,62.92 ft / 19.18 m
Bavaria-Cruiser-50,15.32 ft / 4.67 m,"27,778 lb / 12,600 kg",21.98,79 gals / 299 L,148 gals / 560 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Salona-40,13.12 ft / 4.00 m,"15,873 lb / 7,200 kg",22.22,53 gals / 201 L,53 gals / 201 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Maxi-1300,12.47 ft / 3.80 m,"18,298 lb / 8,300 kg",22.23,52 gals / 195 L,90 gals / 340 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Grand-Soleil-46-Jezequel,13.78 ft / 4.20 m,"28,660 lb / 13,000 kg",22.33,85 gals / 322 L,172 gals / 651 L,Masthead Sloop,Volvo Penta,Fin w/spade rudder,
Solaris-42,13.09 ft / 3.99 m,"19,400 lb / 8,800 kg",22.73,53 gals / 201 L,92 gals / 348 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Maxi-1200,12.30 ft / 3.75 m,"16,094 lb / 7,300 kg",22.78,40 gals / 150 L,69 gals / 260 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,62.17 ft / 18.95 m
Hunter-38,12.92 ft / 3.94 m,"18,342 lb / 8,320 kg",22.88,35 gals / 132 L,75 gals / 284 L,B&R,Yanmar,Fin w/spade rudder,59.08 ft / 18.01 m
Dehler-46,14.27 ft / 4.35 m,"25,353 lb / 11,500 kg",23,55 gals / 210 L,119 gals / 450 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,69.55 ft / 21.20 m
Dehler-41,12.89 ft / 3.93 m,"18,067 lb / 8,195 kg",23.09,29 gals / 110 L,78 gals / 295 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,64.96 ft / 19.80 m
Hunter-39,12.92 ft / 3.94 m,"18,077 lb / 8,200 kg",23.11,36 gals / 136 L,75 gals / 284 L,B&R,Yanmar,Fin w/spade rudder,62.00 ft / 18.90 m
Bestevaer-53ST,15.22 ft / 4.64 m,"39,683 lb / 18,000 kg",23.15,"291 gals / 1,100 L","317 gals / 1,200 L",Cutter,Yanmar,Fin w/bulb & spade rudder,73.82 ft / 22.50 m
Dehler-39-SQ,12.62 ft / 3.85 m,"16,755 lb / 7,600 kg",23.23,29 gals / 110 L,61 gals / 230 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,61.84 ft / 18.85 m
Grand-Soleil-47,13.94 ft / 4.25 m,"24,471 lb / 11,100 kg",23.57,65 gals / 246 L,95 gals / 360 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Tofinou-16,14.11 ft / 4.30 m,"28,660 lb / 13,000 kg",23.65,53 gals / 200 L,106 gals / 400 L,Fractional  Sloop,Nanni,Fin w/bulb & dual rudders,
Bavaria-44-Vision,14.40 ft / 4.39 m,"22,928 lb / 10,400 kg",23.82,55 gals / 210 L,95 gals / 360 L,Fractional  Sloop,Volvo,Fin w/spade rudder,65.62 ft / 20.00 m
Dufour-40e,12.76 ft / 3.89 m,"17,527 lb / 7,950 kg",23.83,58 gals / 220 L,95 gals / 360 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Solaris-48,14.44 ft / 4.40 m,"28,219 lb / 12,800 kg",23.99,79 gals / 299 L,132 gals / 500 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Azuree-40,13.84 ft / 4.22 m,"16,270 lb / 7,380 kg",24.21,32 gals / 121 L,84 gals / 318 L,Fractional  Sloop,,Fin w/bulb & dual rudders,64.90 ft / 19.78 m
Grand-Soleil-43-Maletto,13.12 ft / 4.00 m,"20,062 lb / 9,100 kg",24.56,58 gals / 220 L,95 gals / 360 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Moody-45-Classic,13.78 ft / 4.20 m,"25,353 lb / 11,500 kg",24.72,58 gals / 220 L,84 gals / 318 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Grand-Soleil-43-BC,12.96 ft / 3.95 m,"19,621 lb / 8,900 kg",24.84,61 gals / 231 L,106 gals / 401 L,Fractional  Sloop,Volvo,Fin w/bulb & spade rudder,
Salona-38,11.88 ft / 3.62 m,"14,330 lb / 6,500 kg",25.88,26 gals / 98 L,48 gals / 182 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Azuree-46,13.94 ft / 4.25 m,"23,589 lb / 10,700 kg",26.05,57 gals / 216 L,98 gals / 371 L,Fractional  Sloop,,Fin w/bulb & dual rudders,76.00 ft / 23.16 m
Solaris-44,13.71 ft / 4.18 m,"21,605 lb / 9,800 kg",26.28,69 gals / 261 L,111 gals / 420 L,Fractional  Sloop,Volvo Penta,Fin w/bulb & spade rudder,
Beneteau-523,16.01 ft / 4.88 m,"30,864 lb / 14,000 kg",26.52,198 gals / 750 L,119 gals / 450 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Solaris-50,14.93 ft / 4.55 m,"31,305 lb / 14,200 kg",27.84,92 gals / 348 L,132 gals / 500 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
Grand-Soleil-54,15.26 ft / 4.65 m,"35,274 lb / 16,000 kg",28.13,106 gals / 401 L,158 gals / 598 L,Fractional  Sloop,Yanmar,Fin w/bulb & spade rudder,
Tofinou-12,10.50 ft / 3.20 m,"10,582 lb / 4,800 kg",29.38,14 gals / 53 L,10 gals / 38 L,Fractional  Sloop,,Fin w/bulb & spade rudder,
,Beam,Displacement,S.A./Disp.,Fuel,Water,Rigging Type,Make,Type,Mast Height from DWL
Hunter-45cc,,,,,,,,,
Beneteau-Sense-51,,,,,,,,,
Beneteau-Moorings-43.5,,,,,,,,,
Alubat-CIGALE-16,,,,,,,,,
Beneteau-Oceanis-45,,,,,,,,,
Harmony-42-Elegance,,,,,,,,,
